,Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
22023,2020-07-23,"Đường Nguyễn Công Trứ, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,5 phòng,50 m²,NaN,NaN,122 triệu/m²
22024,2020-07-23,"Đường Cổ Điển A, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Ngọc Hồi,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,42 m²,NaN,4 m,"61,9 triệu/m²"
22025,2020-07-23,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,45 m²,8 m,5.8 m,"46,67 triệu/m²"
22026,2020-07-23,"Đường Hoàng Hoa Thám, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Yên Phụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,36 m²,NaN,NaN,125 triệu/m²
22027,2020-07-23,"đông tác, Phường Kim Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,39 m²,NaN,4.5 m,"117,95 triệu/m²"
22028,2020-07-23,"Đường Vũ Trọng Phụng||702, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,36 m²,NaN,NaN,150 triệu/m²
22029,2020-07-23,"giáp nhị, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,NaN,6 phòng,40 m²,NaN,NaN,"74,75 triệu/m²"
22030,2020-07-23,"Đường Phùng Chí Kiên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,41 m²,NaN,3.7 m,"114,63 triệu/m²"
22031,2020-07-23,"Đường Đoàn Thị Điểm, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Quốc Tử Giám,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,35 m²,8.8 m,4 m,"117,14 triệu/m²"
22032,2020-07-23,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,35 m²,NaN,NaN,"82,86 triệu/m²"
22033,2020-07-23,"Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,36 m²,NaN,3.6 m,"56,94 triệu/m²"
22034,2020-07-23,"Nguyễn Đức Cảnh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,36 m²,NaN,4.2 m,"77,22 triệu/m²"
22035,2020-07-23,"Đường Cự Lộc, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thượng Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,7,nhiều hơn 10 phòng,60 m²,NaN,NaN,"128,33 triệu/m²"
22036,2020-07-23,"chùa bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,33 m²,NaN,NaN,"96,97 triệu/m²"
22037,2020-07-23,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,7 phòng,28 m²,NaN,4 m,"98,21 triệu/m²"
22038,2020-07-23,"Đường Tô Hiệu, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,46 m²,NaN,NaN,"97,83 triệu/m²"
22039,2020-07-23,"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",NaN,4,4 phòng,35 m²,NaN,NaN,"74,29 triệu/m²"
22040,2020-07-23,"Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,NaN,2 phòng,26 m²,NaN,NaN,"94,23 triệu/m²"
22041,2020-07-23,"Đường Trung Phụng, Phường Trung Phụng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",NaN,4,2 phòng,21 m²,NaN,NaN,"119,05 triệu/m²"
22042,2020-07-23,"Đường Nguyễn Văn Tố, Phường Cửa Đông, Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Phường Cửa Đông,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,27 m²,NaN,3.3 m,"109,26 triệu/m²"
22043,2020-07-23,"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,32 m²,NaN,NaN,"78,13 triệu/m²"
22044,2020-07-23,"Đường Cổ Nhuế, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,1,1 phòng,52 m²,NaN,NaN,"74,04 triệu/m²"
22045,2020-07-23,"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,38 m²,NaN,3.6 m,"69,74 triệu/m²"
22046,2020-07-23,"Đường Kim Mã Thượng, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,34 m²,NaN,5 m,"116,18 triệu/m²"
22047,2020-07-23,"Đường Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,35 m²,NaN,3 m,"114,29 triệu/m²"
22048,2020-07-23,"Vũ Tông Phan, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,38 m²,NaN,NaN,"72,37 triệu/m²"
22049,2020-07-23,"Đường Hoàng Ngân, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,6,4 phòng,60 m²,15 m,4 m,"181,67 triệu/m²"
22050,2020-07-23,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,32 m²,9 m,3.5 m,"107,81 triệu/m²"
22051,2020-07-23,"Đường Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,6 phòng,42 m²,NaN,NaN,"71,43 triệu/m²"
22052,2020-07-23,"Đường Khương Thượng||378, Phường Khương Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,44 m²,NaN,4 m,"113,18 triệu/m²"
22053,2020-07-23,"Đường Cầu Đơ 2, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,40 m²,NaN,NaN,50 triệu/m²
22054,2020-07-23,"Đường Lê Trọng Tấn, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,55 m²,NaN,NaN,"69,09 triệu/m²"
22055,2020-07-23,"Đường Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,15 m²,NaN,NaN,94 triệu/m²
22056,2020-07-23,"Đường Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,35 m²,NaN,NaN,80 triệu/m²
22057,2020-07-23,"Đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,40 m²,NaN,NaN,"78,75 triệu/m²"
22058,2020-07-23,"Đường Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Tứ Liên,"Nhà mặt phố, mặt tiền",NaN,NaN,5 phòng,44 m²,NaN,NaN,"88,64 triệu/m²"
22059,2020-07-23,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,NaN,NaN,"69,7 triệu/m²"
22060,2020-07-23,"Đường Tây Sơn, Phường Nam Đồng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,27 m²,NaN,NaN,"69,63 triệu/m²"
22061,2020-07-23,"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,NaN,2 phòng,12 m²,NaN,3.5 m,"82,5 triệu/m²"
22062,2020-07-23,"Đường Thổ Quan, Phường Thổ Quan, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thổ Quan,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,34 m²,NaN,5 m,"95,59 triệu/m²"
22063,2020-07-23,"Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,45 m²,10 m,4.5 m,"66,67 triệu/m²"
22064,2020-07-23,Đường Tân Hồng,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,6,6 phòng,42 m²,NaN,NaN,"91,67 triệu/m²"
22065,2020-07-23,"Đường Nhân Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,NaN,5 phòng,35 m²,NaN,NaN,"88,57 triệu/m²"
22066,2020-07-23,"Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,51 m²,NaN,NaN,"94,12 triệu/m²"
22067,2020-07-23,Đường Hoàng Mai,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,54 m²,NaN,NaN,"67,59 triệu/m²"
22068,2020-07-23,"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,5,6 phòng,51 m²,NaN,3.8 m,"96,08 triệu/m²"
22069,2020-07-23,"Đường Vũ Hữu, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,30 m²,NaN,NaN,"133,33 triệu/m²"
22070,2020-07-23,"Đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,6 m,4 m,"72,86 triệu/m²"
22071,2020-07-23,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,60 m²,16.6 m,3.6 m,"63,33 triệu/m²"
22072,2020-07-23,"Đường Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Cự Khối,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,315 m²,9 m,3.5 m,"5,37 triệu/m²"
22073,2020-07-23,"Đường Trần Đại Nghĩa, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà mặt phố, mặt tiền",NaN,NaN,6 phòng,88 m²,NaN,NaN,"84,09 triệu/m²"
22074,2020-07-23,"Đường Phạm Ngọc Thạch, Phường Trung Tự, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,50 m²,NaN,NaN,76 triệu/m²
22075,2020-07-23,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,11 m,3.5 m,85 triệu/m²
22076,2020-07-23,"Đường Hàng Bài, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Phường Phan Chu Trinh,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,35 m²,9 m,4 m,"122,86 triệu/m²"
22077,2020-07-23,"Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,56 m²,NaN,NaN,"86,61 triệu/m²"
22078,2020-07-23,"Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,32 m²,NaN,NaN,"103,13 triệu/m²"
22079,2020-07-23,"Đường Kim Mã Thượng, Phường Cống Vị, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,34 m²,NaN,6 m,"117,65 triệu/m²"
22080,2020-07-23,"Đường Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phúc La,Nhà phố liền kề,Đã có sổ,5,4 phòng,50 m²,NaN,45 m,"111,8 triệu/m²"
22081,2020-07-23,"Đường Trung Yên, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",NaN,NaN,5 phòng,45 m²,NaN,NaN,"164,44 triệu/m²"
22082,2020-07-23,"đường Vĩnh hưng, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,45 m²,NaN,NaN,"106,67 triệu/m²"
22083,2020-07-23,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,NaN,NaN,85 triệu/m²
22084,2020-07-23,"Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,5 phòng,50 m²,9 m,6.3 m,148 triệu/m²
22085,2020-07-23,"Đường Đông Thiên, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,37 m²,NaN,3.7 m,"59,46 triệu/m²"
22086,2020-07-23,"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,32 m²,7.4 m,4.7 m,"89,06 triệu/m²"
22087,2020-07-23,"38, Đường Nhân Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,6 phòng,40 m²,NaN,4 m,85 triệu/m²
22088,2020-07-23,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",NaN,NaN,6 phòng,50 m²,NaN,NaN,80 triệu/m²
22089,2020-07-23,"Đường 32, Thị trấn Trạm Trôi, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Thị trấn Trạm Trôi,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,nhiều hơn 10 phòng,290 m²,NaN,NaN,"79,31 triệu/m²"
22090,2020-07-23,"Đường Trần Phú, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,40 m²,8 m,5 m,75 triệu/m²
22091,2020-07-23,"lĩnh nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,3,3 phòng,45 m²,7 m,6 m,"46,67 triệu/m²"
22092,2020-07-23,"Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phúc La,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,50 m²,NaN,NaN,100 triệu/m²
22093,2020-07-23,"Lê quang đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,40 m²,NaN,NaN,70 triệu/m²
22094,2020-07-23,"Đường Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,33 m²,NaN,NaN,"81,21 triệu/m²"
22095,2020-07-23,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,35 m²,NaN,NaN,"82,86 triệu/m²"
22096,2020-07-23,"Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tứ Hiệp,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,38 m²,9 m,4 m,"55,26 triệu/m²"
22097,2020-07-23,"Đường Trần Quý Cáp, Phường Văn Miếu, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Văn Miếu,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,38 m²,NaN,NaN,"73,68 triệu/m²"
22098,2020-07-23,"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,2 phòng,85 m²,NaN,NaN,"235,29 triệu/m²"
22099,2020-07-23,"Đường Phố Huế, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Phố Huế,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,25 m²,NaN,NaN,"11,2 triệu/m²"
22100,2020-07-23,"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,36 m²,NaN,NaN,"83,33 triệu/m²"
22101,2020-07-23,"Đường Kim Mã Thượng, Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,32 m²,NaN,3 m,125 triệu/m²
22102,2020-07-23,"Đường Kim Hoa, Phường Kim Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,50 m²,NaN,NaN,80 triệu/m²
22103,2020-07-23,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,50 m²,NaN,NaN,90 triệu/m²
22104,2020-07-23,"trần kim xuyến, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hoà,"Nhà mặt phố, mặt tiền",NaN,NaN,6 phòng,51 m²,NaN,NaN,"235,29 triệu/m²"
22105,2020-07-23,"Đường Nguyễn Ngọc Nại||672, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",NaN,NaN,6 phòng,100 m²,NaN,NaN,60 triệu/m²
22106,2020-07-23,"Đường Quốc lộ 32, Xã Kim Chung, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Xã Kim Chung,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,35 m²,10 m,3.45 m,"69,14 triệu/m²"
22107,2020-07-23,"Đường Khương Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,33 m²,5.5 m,6 m,"89,39 triệu/m²"
22108,2020-07-23,"Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,40 m²,NaN,NaN,"102,5 triệu/m²"
22109,2020-07-23,"Đường Kiên Thành, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Huyện Gia Lâm,Thị trấn Trâu Quỳ,"Nhà mặt phố, mặt tiền",Đã có sổ,2,1 phòng,80 m²,11 m,7 m,"46,25 triệu/m²"
22110,2020-07-23,"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,4,5 phòng,50 m²,13.5 m,4.5 m,83 triệu/m²
22111,2020-07-23,"giáp bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",NaN,NaN,1 phòng,41 m²,NaN,NaN,"73,17 triệu/m²"
22112,2020-07-23,"Đường Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,35 m²,NaN,NaN,"98,57 triệu/m²"
22113,2020-07-23,"Huyền Kỳ, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,42 m²,NaN,5 m,"35,24 triệu/m²"
22114,2020-07-23,"Đường Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,3,2 phòng,47 m²,10 m,6 m,"144,68 triệu/m²"
22115,2020-07-23,"Đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thịnh Quang,Nhà biệt thự,Đã có sổ,5,3 phòng,55 m²,NaN,6 m,"105,45 triệu/m²"
22116,2020-07-23,"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,43 m²,NaN,NaN,"111,63 triệu/m²"
22117,2020-07-23,"Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,5 phòng,56 m²,NaN,3 m,"246,43 triệu/m²"
22118,2020-07-23,"Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",NaN,NaN,6 phòng,50 m²,NaN,NaN,88 triệu/m²
22119,2020-07-23,"Đường Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,56 m²,NaN,NaN,"98,21 triệu/m²"
22120,2020-07-23,"36/8, Đường Bùi Ngọc Dương, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",NaN,NaN,8 phòng,60 m²,10 m,60 m,"93,33 triệu/m²"
22121,2020-07-23,"vũ trọng phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,40 m²,NaN,6.7 m,"112,5 triệu/m²"
22122,2020-07-23,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,53 m²,NaN,NaN,"89,62 triệu/m²"
22123,2020-07-23,"Đường Khương Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,3,4 phòng,52 m²,11.5 m,4.5 m,"88,46 triệu/m²"
22124,2020-07-23,"Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,NaN,5 phòng,37 m²,NaN,NaN,"75,68 triệu/m²"
22125,2020-07-23,"Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,37 m²,NaN,NaN,"75,68 triệu/m²"
22126,2020-07-23,"Đường Bạch Mai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,38 m²,NaN,NaN,"92,11 triệu/m²"
